ID,acc,ax_f,ay_f,az_f,costheta,jerk,label
101,9.802250784,0.7292295258,0.2485878384,-0.5316079274,0.8305282083,1.0925852573,0
102,9.7389856359,-0.6879922187,-0.0425589295,-0.1282353438,0.694702807,1.4629463827,1
103,9.6287657124,0.1885275751,-0.055583762,-0.1860451455,0.5050189861,3.1263752082,1
104,9.8176839386,0.2502447024,-0.1412328943,-0.1214375588,0.8631587995,0.9949533231,0
105,9.7928530877,0.1875249006,-0.2112493254,-0.4009904244,0.8440419487,1.3047759537,1
107,9.7749294521,0.5702654992,-0.2323094493,-0.6281702158,0.7428862659,1.7529269319,0
109,9.7857781575,-0.0898808946,0.2926372474,0.2081318807,0.67514853,1.3267795204,1
110,9.707945938,-0.2170753436,-0.0493517894,-0.0063240001,0.6764976675,1.8316478762,1
111,9.7922628459,1.2779737654,0.4398681262,-0.5239818117,0.7858513902,1.4146712051,0
113,9.7619970241,0.1279689646,0.5379107308,0.4460489292,0.8142989817,1.2330648183,0
115,9.7436233449,-0.059054748,-0.4286266576,-0.453769537,0.7966855716,1.7519630513,0
116,9.7628678433,-0.3563762015,0.1456197531,-0.2240579897,0.7423897403,1.6850632638,1
118,9.7685086163,-0.6886702362,-0.0096908544,-0.1149820375,0.864256275,1.0386251643,1
119,9.7723994315,-0.0564148153,0.1674321423,0.1505734057,0.8134067059,1.5601620875,1
120,9.771392296,0.3190351122,0.1975807345,0.1055003424,0.7268395559,1.2794033453,1
121,9.7316541192,-0.1181230262,-0.2300999107,0.1972005426,0.8060222935,1.5347760565,1
130,9.7255568006,0.4392126012,0.0162865781,-0.0493716951,0.607312388,1.7992407033,1
131,9.826196265,0.2491173643,0.2090428209,-1.2789419265,0.8877510948,1.0180489654,1
132,9.7283487429,-0.0233115226,0.5019219701,0.385852505,0.6821668199,1.3975921201,0
133,9.747588188,0.0154173523,-0.1240783295,-0.2036423729,0.7856600583,1.8724448081,1
134,9.8127181347,1.054401113,0.4185295745,-0.9731284317,0.8532903073,1.0572015592,0
135,9.7791523503,0.7803746481,-0.3764034353,-0.542315504,0.6036723711,1.6050366767,1
136,9.7161364323,0.3277668318,0.2636542828,-0.6751807013,0.7567964092,2.1544795264,0
190,9.7641558004,0.4641391458,0.1665159652,0.06543015,0.8672434071,1.286947273,0
191,9.8144561014,-0.3095887177,-0.5401620763,-0.6236916286,0.8901236857,0.8890530648,0
192,9.6997913247,-0.1218715906,0.0977857844,-0.2354819901,0.8585582724,2.968926342,1
193,9.7480896564,1.0828995267,-0.5921779979,-0.7653519883,0.8271585454,2.4110472587,1
195,9.6978820774,-0.308684218,-0.552372841,0.4920787805,0.8326461225,2.0050238216,0
196,9.8007623879,-0.0056563049,-0.0538223721,-0.2067934719,0.7940478359,1.1544920812,1
197,9.7844932214,0.3077565136,1.2697950582,-0.4143875864,0.8659684335,1.6135696511,0
199,9.742573169,-0.1522646794,-0.9453300331,-0.8843012463,0.861462653,2.3169690841,1
200,9.6830010121,0.029916197,0.2446871242,-0.6945815554,0.8588880024,2.2779878308,0
201,9.7617568764,0.0648379904,-0.4051616491,-0.0048182019,0.6560476557,1.7734825807,1
203,9.810891028,0.4092962815,0.0264607723,0.6663254283,0.8314487288,0.6724480714,0
205,9.693246957,-0.0693933367,0.3226006019,0.3469647331,0.8058037361,1.9400497266,1
207,9.7743609405,0.1059244162,0.3151301005,-0.5035944467,0.6460496974,1.3570984266,1
208,9.7695694467,0.0630768158,-0.7213467364,-0.0591727933,0.8808654474,1.8692700982,0
220,9.7855435363,1.0663919536,-0.183578602,-0.0914504234,0.8983768674,1.6474202069,1
221,9.7739916097,1.0497317707,0.0078820035,-0.1140727186,0.8505898812,1.5711996476,1
222,9.7469419756,0.2042862379,0.4710625477,-0.5936469153,0.8504342884,1.6621479638,1
223,9.7856161898,-0.410372828,0.545720998,-0.3047441047,0.7420769186,1.5658199632,1
225,9.8206579165,0.9895614361,0.5355055655,-0.4580819948,0.8943105107,1.0932489879,0
226,9.7452402515,0.0586616591,0.2859155584,0.1188049884,0.8581571992,1.8080445652,0
229,9.8182015996,-0.0810890244,0.48142329,-0.3557397331,0.8636792946,0.9977583813,1
230,9.8051945524,0.5918818901,-0.0231419651,-0.8696726405,0.7859750992,1.1559736976,0
231,9.8123491222,-0.4493941295,-0.0080980165,-0.9950522234,0.8818775241,1.0223138121,0
233,9.7497270269,-0.1271271142,-1.1321807141,-0.7636999839,0.8250752346,1.8368646122,0
234,9.7616336389,0.0260801197,0.3199173017,0.3398338243,0.8802836984,1.0129610268,1
235,9.7747150998,0.1099856134,0.186178799,-0.7596256867,0.6927617309,1.3714662827,1
236,9.7904610103,0.6334766791,0.5103228425,-0.8271030083,0.712114965,1.1471663325,0
237,9.7865303935,0.3732301425,-0.479679716,-0.0938122407,0.8105627802,1.2514272493,1
251,9.8042799556,0.2772869842,1.3581944498,-0.3040398006,0.8726618562,1.1141202473,0
254,9.7617680932,0.1882264779,-0.5160588015,-0.1459271461,0.8239983015,1.8699624652,1
255,9.80115604,-0.3645312384,0.7171883603,-0.0636349506,0.7458894363,1.1977897933,1
302,9.7622864546,-0.3216436342,0.4497143871,-0.4993050558,0.8007390014,1.9609064572,0
304,9.7955679601,0.3844734746,0.4437546154,0.1656957114,0.8351032986,1.0173672604,1
307,9.7788752979,-0.475209089,0.2182288407,-0.3187694025,0.8390170027,1.7203291924,0
309,9.8129107747,0.6943632952,-0.2291364408,-0.7963726266,0.800045067,1.0003636768,1
312,9.7333917629,-0.1879545246,-0.2153527058,0.4172300481,0.8036314147,1.8669967871,1
314,9.7681897388,0.6084249458,-0.4363251518,0.6596987439,0.7429206492,1.3993901003,1
316,9.6907270361,0.760207565,-0.2955539814,-0.5898819717,0.6067536558,2.6634325639,1
317,9.7060524484,0.4205898816,-0.4228583244,0.3495477574,0.7615608133,2.3761691696,0
318,9.7427079595,-0.301408257,-0.5164420026,-0.4412976267,0.8803121552,1.8357202599,1
319,9.7514278986,0.5643614379,-0.1862122767,0.0929457852,0.7394413715,1.9380000334,0
322,9.7412633993,0.1576919398,-0.2780680139,-0.025424039,0.8683449703,1.911385888,0
324,9.7988344476,0.5609681365,0.3868437686,-0.6486607382,0.8167812132,1.409400586,0
326,9.7899054818,0.2237229105,-0.1170017856,0.1540883892,0.8128870465,0.9848996378,1
327,9.7736552732,0.229555151,-0.2962278727,-0.1161212744,0.8722149094,1.582785093,0
328,9.7223145325,-0.0966347799,-0.1746009093,0.0402970991,0.8403404416,1.8024768651,1
329,9.731133949,0.3112867899,0.2692334457,-1.1512014799,0.8179645189,2.0961763704,0
330,9.7820724239,0.4084515515,-0.0641536823,-0.1111710281,0.7829190618,1.5421596455,0
332,9.7183796655,0.2644340153,0.898277304,-0.5551128345,0.8410798678,1.9921183931,0
333,9.7486353923,-0.1813851538,0.3691834856,0.1295669757,0.8374964987,1.3083864788,0
334,9.7670345194,0.9658466916,-0.4894006746,-0.1414700864,0.8792637181,1.842108329,0
336,9.7371706238,0.5032635722,0.3795322118,0.2883561743,0.8689921926,2.1381826176,0
337,9.7018062974,-0.182055947,-0.2102356368,-0.4798267541,0.703968276,2.180867773,1
338,9.7807341207,0.2947315938,-0.1461342119,0.165664831,0.7533762157,1.3118116427,0
339,9.7543247449,0.6474545523,-0.0164925665,-0.0778687277,0.8357646456,1.5377674237,1
340,9.7775668745,-0.3038623845,-0.4944090345,0.21626839,0.8415931548,1.129279187,0
342,9.7534495271,-0.4489033834,-0.1143626243,0.5233758138,0.7970144984,1.3324951067,1
343,9.8143204023,0.5281106902,-0.1683952856,-0.5582611182,0.829270611,1.1021550227,1
344,9.7665736763,0.2920563511,0.0881169531,0.014103746,0.8349279993,1.7034753019,1
345,9.7771343849,-0.093307964,0.3507646798,-1.109779351,0.876889106,1.6127455408,0
346,9.7791762381,0.077677688,-0.0087100198,-0.0686325254,0.8586758979,1.540063239,0
347,9.7494960668,-0.4091983441,-0.2521425607,0.049886186,0.8173713622,1.5673969932,1
348,9.7234402198,-0.5714893656,0.3986875186,-0.3357733543,0.8075228343,1.7493198265,1
349,9.8016857548,0.1561341454,0.9408894798,-0.336620473,0.8522800068,1.3680385,0
350,9.7811109876,0.1193503317,1.0093066805,0.2744466514,0.6783426204,1.2130469135,1
351,9.7667431519,0.6317615701,0.1847214742,0.152581332,0.8308014171,1.3514110244,0
352,9.7707160097,0.5462382884,0.0708813841,-0.193451788,0.7326643177,1.5445636875,1
353,9.7332208531,0.4904957917,0.2886157347,-0.4618021266,0.8293616675,1.9967986442,1
354,9.7853822697,0.8284925487,0.19753385,-0.3903844502,0.8249104962,1.39048458,0
355,9.7721656869,0.182960205,0.0139658542,-1.2388627775,0.8465578285,2.0142404929,0
356,9.7681304634,-0.1286664289,-0.1607528482,-0.3551523612,0.8641949774,1.4351300531,0
357,9.770791094,0.6236170001,0.2245270144,-0.1383679785,0.6858917147,1.5868300357,1
358,9.7960621962,0.2250836939,0.9461081504,-0.4665204126,0.8675607549,1.54559818,0
